,tid,tfopwg_disp
49,54044474,FP
72,207081058,FP
75,29831208,FP
84,235037761,FP
90,176957796,FP
91,277683130,FP
105,403287048,FP
106,231081369,FP
107,389525208,FP
109,220518305,FP
113,253917293,FP
115,99493790,FP
117,79395355,FP
118,350743714,FP
141,51912829,FP
143,76989773,FP
145,300871545,FP
148,260304296,FP
149,280830734,FP
150,278866211,FP
168,260271203,FP
172,300293197,FP
179,260043723,FP
181,260609205,FP
188,47484268,FP
198,9727392,FP
204,120585579,FP
205,149010208,FP
221,350445771,FP
240,279740441,FP
242,373844472,FP
243,382188882,FP
253,277103955,FP
269,166697854,FP
288,389753172,FP
289,188593930,FP
290,175476629,FP
295,144336525,FP
303,233964642,FP
305,55452495,FP
308,69838258,FP
311,415969574,FP
318,382474101,FP
336,9033144,FP
341,441075486,FP
346,139285736,FP
348,220396259,FP
350,207084429,FP
351,229091748,FP
356,92359850,FP
358,271900960,FP
361,328350926,FP
363,9858404,FP
364,38541473,FP
367,219379012,FP
369,219388773,FP
371,259701242,FP
376,176984236,FP
378,349518800,FP
379,176778112,FP
380,167754523,FP
381,206466531,FP
384,7624182,FP
386,325680697,FP
388,49899799,FP
389,339733013,FP
391,279251651,FP
392,408159788,FP
397,169532369,FP
399,70914192,FP
402,459942762,FP
405,38686737,FP
409,44745077,FP
413,143350972,FP
414,316916655,FP
418,14091704,FP
419,1449640,FP
420,14091633,FP
432,38603673,FP
440,20178111,FP
445,52280468,FP
451,172464366,FP
458,427352241,FP
470,88977253,FP
471,108645766,FP
472,121338379,FP
480,274138511,FP
487,431999925,FP
490,318937509,FP
491,308307606,FP
502,403693875,FP
503,438490744,FP
505,302895996,FP
517,53593457,FP
523,32830028,FP
528,161477033,FP
544,1103432,FP
545,1133072,FP
551,289535142,FP
556,410094645,FP
564,190990336,FP
566,294090620,FP
570,146261607,FP
571,196286587,FP
576,146208651,FP
578,145982812,FP
585,122262940,FP
587,186547153,FP
589,80275202,FP
598,267527924,FP
600,30828562,FP
602,101395259,FP
606,365781372,FP
609,123898871,FP
611,349790953,FP
612,348755723,FP
613,344926234,FP
614,286132427,FP
615,146463781,FP
617,78154865,FP
618,82362447,FP
622,432008938,FP
627,78672342,FP
629,349373192,FP
632,33153766,FP
641,54085154,FP
645,73723286,FP
648,102195674,FP
650,147660201,FP
651,151681127,FP
653,151959065,FP
659,308050066,FP
669,445822015,FP
670,101497191,FP
675,55559618,FP
685,219239945,FP
693,391821647,FP
706,275248683,FP
709,131419878,FP
749,131081852,FP
750,152147232,FP
751,162362398,FP
756,181159386,FP
760,229811538,FP
797,143526444,FP
808,255760319,FP
810,175180796,FP
825,307610438,FP
840,32283946,FP
841,229141709,FP
911,348844154,FP
941,219205407,FP
944,189013222,FP
946,449050247,FP
948,449050248,FP
951,146434840,FP
963,453209605,FP
978,148659924,FP
982,52548453,FP
983,113553629,FP
10,231663901,CP
21,149603524,CP
32,336732616,CP
43,231670397,CP
54,144065872,CP
56,38846515,CP
57,92352620,CP
58,289793076,CP
59,29344935,CP
60,281459670,CP
61,355703913,CP
62,388104525,CP
63,97409519,CP
64,25155310,CP
65,281541555,CP
66,238176110,CP
67,322307342,CP
68,266980320,CP
71,394137592,CP
74,290131778,CP
76,52368076,CP
77,52368076,CP
79,70440470,CP
80,234523599,CP
88,267263253,CP
89,410153553,CP
94,403224672,CP
96,25375553,CP
97,261136679,CP
126,29857954,CP
128,425997655,CP
129,425997655,CP
132,307210830,CP
133,307210830,CP
134,307210830,CP
146,100100827,CP
147,279741379,CP
151,166739520,CP
152,183532609,CP
153,183537452,CP
155,211438925,CP
156,230982885,CP
158,441462736,CP
161,410214986,CP
177,55652896,CP
178,55652896,CP
190,77044471,CP
191,120610833,CP
193,204376737,CP
194,402026209,CP
201,9725627,CP
203,77031414,CP
208,158623531,CP
209,160148385,CP
212,184240683,CP
217,204317710,CP
218,92226327,CP
219,92226327,CP
222,12862099,CP
228,122612091,CP
229,159951311,CP
232,166836920,CP
239,268766053,CP
264,327952677,CP
272,145750719,CP
275,114749636,CP
307,116156517,CP
320,228381868,CP
337,77031413,CP
357,422655579,CP
360,382391899,CP
368,1129033,CP
370,35857242,CP
373,120896927,CP
374,257567854,CP
375,166833457,CP
385,170634116,CP
387,152476657,CP
390,178284730,CP
395,43647325,CP
407,78055054,CP
410,32499655,CP
412,13021029,CP
416,117979897,CP
422,139528693,CP
425,139733308,CP
426,452808876,CP
438,270380593,CP
439,4616072,CP
441,33521996,CP
444,47911178,CP
446,52640302,CP
447,59843967,CP
450,170102285,CP
452,306362738,CP
456,393414358,CP
463,455096220,CP
464,455135327,CP
465,468987719,CP
466,17746821,CP
469,22529346,CP
475,134537478,CP
479,268644785,CP
482,425206121,CP
485,440777904,CP
488,366576758,CP
508,281909674,CP
509,280210963,CP
510,234825296,CP
511,234112540,CP
519,37168957,CP
520,36440357,CP
521,36352297,CP
522,42821097,CP
526,192826603,CP
546,13349647,CP
550,270468559,CP
553,315002523,CP
555,408310006,CP
557,423275733,CP
603,399870368,CP
604,379929661,CP
634,35516889,CP
635,36734222,CP
636,48103627,CP
639,53189332,CP
640,53735810,CP
644,55092869,CP
647,101955023,CP
655,169226822,CP
663,437248515,CP
665,281731203,CP
735,437242640,CP
738,15445551,CP
739,104024556,CP
741,14614418,CP
742,14661418,CP
743,61538902,CP
758,219698950,CP
759,229047362,CP
761,248075138,CP
762,248111245,CP
765,286865921,CP
766,294301883,CP
773,398943781,CP
774,413376180,CP
812,46096489,CP
813,73717937,CP
814,111991770,CP
816,127530399,CP
819,220029715,CP
820,243200602,CP
822,271168962,CP
828,404340025,CP
834,466840711,CP
838,437333618,CP
852,404467699,CP
961,178367144,CP
